*  HI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.244431  8.10518e-29
     0.244955  8.11763e-29
     0.245481  8.12986e-29
     0.246007  8.14191e-29
     0.246535  8.15369e-29
     0.247064  8.16521e-29
     0.247594  8.17656e-29
     0.248125  8.18772e-29
     0.248658  8.19871e-29
     0.249191  8.20958e-29
     0.249726  8.22033e-29
     0.250262  8.23100e-29
     0.250799  8.24165e-29
     0.251337  8.25225e-29
     0.251876  8.26281e-29
     0.252417  8.27344e-29
     0.252958  8.28427e-29
     0.253501  8.29513e-29
     0.254045  8.30609e-29
     0.254590  8.31733e-29
     0.255136  8.32878e-29
     0.255684  8.34047e-29
     0.256232  8.35249e-29
     0.256782  8.36478e-29
     0.257333  8.37743e-29
     0.257885  8.39048e-29
     0.258438  8.40385e-29
     0.258993  8.41760e-29
     0.259549  8.43178e-29
     0.260106  8.44631e-29
     0.260664  8.46119e-29
     0.261223  8.47643e-29
     0.261783  8.49200e-29
     0.262345  8.50793e-29
     0.262908  8.52415e-29
     0.263472  8.54056e-29
     0.264037  8.55714e-29
     0.264604  8.57393e-29
     0.265172  8.59089e-29
     0.265741  8.60781e-29
     0.266311  8.62479e-29
     0.266882  8.64187e-29
     0.267455  8.65878e-29
     0.268029  8.67562e-29
     0.268604  8.69236e-29
     0.269180  8.70883e-29
     0.269758  8.72515e-29
     0.270336  8.74120e-29
     0.270916  8.75684e-29
     0.271498  8.77229e-29
     0.272080  8.78740e-29
     0.272664  8.80201e-29
     0.273249  8.81636e-29
     0.273835  8.83037e-29
     0.274423  8.84394e-29
     0.275012  8.85706e-29
     0.275602  8.86985e-29
     0.276193  8.88230e-29
     0.276786  8.89432e-29
     0.277380  8.90603e-29
     0.277975  8.91745e-29
     0.278571  8.92853e-29
     0.279169  8.93940e-29
     0.279768  8.95011e-29
     0.280368  8.96066e-29
     0.280970  8.97101e-29
     0.281573  8.98131e-29
     0.282177  8.99165e-29
     0.282782  9.00196e-29
     0.283389  9.01241e-29
     0.283997  9.02302e-29
     0.284606  9.03367e-29
     0.285217  9.04465e-29
     0.285829  9.05601e-29
     0.286442  9.06763e-29
     0.287057  9.07966e-29
     0.287673  9.09209e-29
     0.288290  9.10493e-29
     0.288908  9.11829e-29
     0.289528  9.13214e-29
     0.290150  9.14644e-29
     0.290772  9.16126e-29
     0.291396  9.17660e-29
     0.292021  9.19242e-29
     0.292648  9.20867e-29
     0.293276  9.22537e-29
     0.293905  9.24249e-29
     0.294536  9.25998e-29
     0.295167  9.27775e-29
     0.295801  9.29579e-29
     0.296435  9.31414e-29
     0.297071  9.33265e-29
     0.297709  9.35127e-29
     0.298348  9.36994e-29
     0.298988  9.38859e-29
     0.299629  9.40720e-29
     0.300272  9.42579e-29
     0.300916  9.44430e-29
     0.301562  9.46252e-29
     0.302209  9.48047e-29
     0.302858  9.49827e-29
     0.303507  9.51576e-29
     0.304159  9.53290e-29
     0.304811  9.54970e-29
     0.305465  9.56611e-29
     0.306121  9.58218e-29
     0.306777  9.59788e-29
     0.307436  9.61311e-29
     0.308095  9.62797e-29
     0.308756  9.64252e-29
     0.309419  9.65671e-29
     0.310083  9.67045e-29
     0.310748  9.68384e-29
     0.311415  9.69702e-29
     0.312083  9.70980e-29
     0.312753  9.72225e-29
     0.313424  9.73451e-29
     0.314096  9.74653e-29
     0.314770  9.75837e-29
     0.315445  9.77009e-29
     0.316122  9.78163e-29
     0.316800  9.79311e-29
     0.317480  9.80459e-29
     0.318161  9.81596e-29
     0.318844  9.82736e-29
     0.319528  9.83889e-29
     0.320214  9.85051e-29
     0.320901  9.86225e-29
     0.321589  9.87414e-29
     0.322279  9.88623e-29
     0.322971  9.89860e-29
     0.323664  9.91126e-29
     0.324358  9.92422e-29
     0.325054  9.93748e-29
     0.325752  9.95110e-29
     0.326451  9.96513e-29
     0.327151  9.97958e-29
     0.327853  9.99441e-29
     0.328556  1.00097e-28
     0.329261  1.00254e-28
     0.329968  1.00414e-28
     0.330676  1.00579e-28
     0.331385  1.00749e-28
     0.332096  1.00925e-28
     0.332809  1.01103e-28
     0.333523  1.01282e-28
     0.334239  1.01467e-28
     0.334956  1.01655e-28
     0.335674  1.01845e-28
     0.336395  1.02037e-28
     0.337116  1.02231e-28
     0.337840  1.02426e-28
     0.338565  1.02623e-28
     0.339291  1.02820e-28
     0.340019  1.03017e-28
     0.340749  1.03214e-28
     0.341480  1.03411e-28
     0.342212  1.03606e-28
     0.342947  1.03800e-28
     0.343682  1.03992e-28
     0.344420  1.04183e-28
     0.345159  1.04372e-28
     0.345899  1.04558e-28
     0.346642  1.04741e-28
     0.347385  1.04922e-28
     0.348131  1.05099e-28
     0.348878  1.05273e-28
     0.349626  1.05444e-28
     0.350376  1.05611e-28
     0.351128  1.05774e-28
     0.351882  1.05935e-28
     0.352636  1.06091e-28
     0.353393  1.06243e-28
     0.354151  1.06391e-28
     0.354911  1.06536e-28
     0.355673  1.06678e-28
     0.356436  1.06815e-28
     0.357201  1.06949e-28
     0.357967  1.07080e-28
     0.358735  1.07207e-28
     0.359505  1.07332e-28
     0.360276  1.07454e-28
     0.361049  1.07574e-28
     0.361824  1.07691e-28
     0.362600  1.07807e-28
     0.363378  1.07922e-28
     0.364158  1.08037e-28
     0.364939  1.08151e-28
     0.365722  1.08265e-28
     0.366507  1.08381e-28
     0.367293  1.08498e-28
     0.368081  1.08617e-28
     0.368871  1.08738e-28
     0.369663  1.08863e-28
     0.370456  1.08993e-28
     0.371251  1.09126e-28
     0.372047  1.09263e-28
     0.372845  1.09406e-28
     0.373645  1.09554e-28
     0.374447  1.09708e-28
     0.375251  1.09869e-28
     0.376056  1.10035e-28
     0.376863  1.10208e-28
     0.377671  1.10388e-28
     0.378481  1.10573e-28
     0.379294  1.10764e-28
     0.380107  1.10960e-28
     0.380923  1.11163e-28
     0.381740  1.11370e-28
     0.382559  1.11581e-28
     0.383380  1.11796e-28
     0.384203  1.12015e-28
     0.385027  1.12237e-28
     0.385853  1.12461e-28
     0.386681  1.12687e-28
     0.387511  1.12914e-28
     0.388342  1.13143e-28
     0.389175  1.13369e-28
     0.390010  1.13596e-28
     0.390847  1.13823e-28
     0.391686  1.14047e-28
     0.392526  1.14270e-28
     0.393368  1.14490e-28
     0.394213  1.14706e-28
     0.395058  1.14920e-28
     0.395906  1.15129e-28
     0.396755  1.15333e-28
     0.397607  1.15534e-28
     0.398460  1.15730e-28
     0.399315  1.15920e-28
     0.400171  1.16105e-28
     0.401030  1.16285e-28
     0.401891  1.16460e-28
     0.402753  1.16628e-28
     0.403617  1.16791e-28
     0.404483  1.16950e-28
     0.405351  1.17102e-28
     0.406221  1.17249e-28
     0.407092  1.17390e-28
     0.407966  1.17526e-28
     0.408841  1.17658e-28
     0.409718  1.17785e-28
     0.410597  1.17907e-28
     0.411478  1.18026e-28
     0.412361  1.18142e-28
     0.413246  1.18255e-28
     0.414133  1.18365e-28
     0.415021  1.18473e-28
     0.415912  1.18579e-28
     0.416804  1.18685e-28
     0.417698  1.18791e-28
     0.418595  1.18897e-28
     0.419493  1.19005e-28
     0.420393  1.19115e-28
     0.421295  1.19227e-28
     0.422199  1.19343e-28
     0.423105  1.19462e-28
     0.424012  1.19587e-28
     0.424922  1.19718e-28
     0.425834  1.19854e-28
     0.426748  1.19996e-28
     0.427663  1.20146e-28
     0.428581  1.20304e-28
     0.429500  1.20469e-28
     0.430422  1.20642e-28
     0.431345  1.20824e-28
     0.432271  1.21015e-28
     0.433198  1.21214e-28
     0.434128  1.21422e-28
     0.435059  1.21638e-28
     0.435993  1.21862e-28
     0.436928  1.22093e-28
     0.437866  1.22331e-28
     0.438805  1.22575e-28
     0.439747  1.22825e-28
     0.440690  1.23080e-28
     0.441636  1.23339e-28
     0.442583  1.23602e-28
     0.443533  1.23866e-28
     0.444485  1.24135e-28
     0.445438  1.24403e-28
     0.446394  1.24669e-28
     0.447352  1.24937e-28
     0.448312  1.25203e-28
     0.449274  1.25465e-28
     0.450238  1.25724e-28
     0.451204  1.25980e-28
     0.452172  1.26232e-28
     0.453142  1.26477e-28
     0.454114  1.26718e-28
     0.455089  1.26952e-28
     0.456065  1.27180e-28
     0.457044  1.27400e-28
     0.458024  1.27612e-28
     0.459007  1.27817e-28
     0.459992  1.28015e-28
     0.460979  1.28204e-28
     0.461968  1.28384e-28
     0.462959  1.28557e-28
     0.463952  1.28722e-28
     0.464948  1.28877e-28
     0.465945  1.29026e-28
     0.466945  1.29167e-28
     0.467947  1.29301e-28
     0.468951  1.29427e-28
     0.469957  1.29547e-28
     0.470966  1.29661e-28
     0.471976  1.29769e-28
     0.472989  1.29873e-28
     0.474004  1.29973e-28
     0.475021  1.30069e-28
     0.476040  1.30163e-28
     0.477061  1.30255e-28
     0.478085  1.30346e-28
     0.479111  1.30437e-28
     0.480139  1.30529e-28
     0.481169  1.30622e-28
     0.482201  1.30718e-28
     0.483236  1.30818e-28
     0.484273  1.30923e-28
     0.485312  1.31033e-28
     0.486353  1.31149e-28
     0.487397  1.31273e-28
     0.488442  1.31404e-28
     0.489490  1.31543e-28
     0.490541  1.31691e-28
     0.491593  1.31850e-28
     0.492648  1.32019e-28
     0.493705  1.32198e-28
     0.494764  1.32388e-28
     0.495826  1.32589e-28
     0.496890  1.32800e-28
     0.497956  1.33020e-28
     0.499024  1.33252e-28
     0.500095  1.33495e-28
     0.501168  1.33746e-28
     0.502243  1.34005e-28
     0.503321  1.34273e-28
     0.504401  1.34549e-28
     0.505483  1.34831e-28
     0.506567  1.35119e-28
     0.507654  1.35411e-28
     0.508744  1.35707e-28
     0.509835  1.36007e-28
     0.510929  1.36307e-28
     0.512025  1.36608e-28
     0.513124  1.36909e-28
     0.514225  1.37209e-28
     0.515328  1.37507e-28
     0.516434  1.37802e-28
     0.517542  1.38093e-28
     0.518652  1.38380e-28
     0.519765  1.38662e-28
     0.520880  1.38937e-28
     0.521998  1.39205e-28
     0.523118  1.39466e-28
     0.524241  1.39721e-28
     0.525365  1.39968e-28
     0.526493  1.40206e-28
     0.527622  1.40437e-28
     0.528754  1.40657e-28
     0.529889  1.40868e-28
     0.531026  1.41072e-28
     0.532165  1.41267e-28
     0.533307  1.41453e-28
     0.534451  1.41631e-28
     0.535598  1.41801e-28
     0.536747  1.41963e-28
     0.537899  1.42117e-28
     0.539053  1.42263e-28
     0.540209  1.42402e-28
     0.541369  1.42535e-28
     0.542530  1.42662e-28
     0.543694  1.42783e-28
     0.544861  1.42899e-28
     0.546030  1.43012e-28
     0.547201  1.43121e-28
     0.548375  1.43227e-28
     0.549552  1.43330e-28
     0.550731  1.43431e-28
     0.551913  1.43531e-28
     0.553097  1.43631e-28
     0.554284  1.43732e-28
     0.555473  1.43834e-28
     0.556665  1.43937e-28
