*  HeI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.733957  2.81360e-30
     0.735532  2.84274e-30
     0.737110  2.87150e-30
     0.738692  2.89978e-30
     0.740277  2.92774e-30
     0.741865  2.95569e-30
     0.743457  2.98313e-30
     0.745052  3.01007e-30
     0.746650  3.03647e-30
     0.748253  3.06238e-30
     0.749858  3.08782e-30
     0.751467  3.11292e-30
     0.753079  3.13747e-30
     0.754695  3.16136e-30
     0.756314  3.18475e-30
     0.757937  3.20768e-30
     0.759563  3.23020e-30
     0.761193  3.25194e-30
     0.762826  3.27269e-30
     0.764463  3.29291e-30
     0.766103  3.31255e-30
     0.767747  3.33163e-30
     0.769394  3.35002e-30
     0.771045  3.36653e-30
     0.772699  3.38189e-30
     0.774357  3.39627e-30
     0.776019  3.40952e-30
     0.777684  3.42150e-30
     0.779352  3.43135e-30
     0.781025  3.43895e-30
     0.782700  3.44468e-30
     0.784380  3.44821e-30
     0.786063  3.44929e-30
     0.787749  3.44778e-30
     0.789439  3.44336e-30
     0.791133  3.43637e-30
     0.792831  3.42648e-30
     0.794532  3.41367e-30
     0.796237  3.39781e-30
     0.797945  3.37896e-30
     0.799657  3.35727e-30
     0.801373  3.33290e-30
     0.803092  3.30592e-30
     0.804815  3.27635e-30
     0.806542  3.24449e-30
     0.808273  3.21048e-30
     0.810007  3.17444e-30
     0.811745  3.13680e-30
     0.813487  3.09782e-30
